t	x1	x2	dx1	dx2	x1_rel	x2_rel
60.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
60.0100	0.0006	0.0000	0.1155	0.0000	0.0006	0.0000
60.0200	0.0023	0.0000	0.2287	0.0000	0.0023	0.0000
60.0300	0.0051	0.0000	0.3394	0.0001	0.0051	0.0000
60.0400	0.0091	0.0000	0.4476	0.0002	0.0091	0.0000
60.0500	0.0141	0.0000	0.5531	0.0004	0.0141	0.0000
60.0600	0.0201	0.0000	0.6558	0.0007	0.0201	0.0000
60.0700	0.0272	0.0000	0.7557	0.0010	0.0272	0.0000
60.0800	0.0352	0.0000	0.8524	0.0015	0.0352	0.0000
60.0900	0.0442	0.0000	0.9460	0.0021	0.0442	0.0000
60.1000	0.0541	0.0001	1.0363	0.0029	0.0541	0.0001
60.1100	0.0649	0.0001	1.1233	0.0038	0.0648	0.0001
60.1200	0.0766	0.0001	1.2069	0.0048	0.0765	0.0001
60.1300	0.0891	0.0002	1.2870	0.0061	0.0889	0.0002
60.1400	0.1023	0.0003	1.3636	0.0075	0.1021	0.0003
60.1500	0.1163	0.0004	1.4368	0.0091	0.1160	0.0004
60.1600	0.1311	0.0005	1.5065	0.0109	0.1306	0.0005
60.1700	0.1465	0.0006	1.5728	0.0130	0.1459	0.0006
60.1800	0.1625	0.0007	1.6356	0.0152	0.1618	0.0007
60.1900	0.1792	0.0009	1.6948	0.0177	0.1783	0.0009
60.2000	0.1964	0.0011	1.7506	0.0205	0.1953	0.0011
60.2100	0.2142	0.0013	1.8027	0.0235	0.2129	0.0013
60.2200	0.2324	0.0015	1.8512	0.0267	0.2309	0.0015
60.2300	0.2512	0.0018	1.8961	0.0302	0.2493	0.0018
60.2400	0.2703	0.0021	1.9374	0.0340	0.2682	0.0021
60.2500	0.2899	0.0025	1.9751	0.0380	0.2874	0.0025
60.2600	0.3098	0.0029	2.0093	0.0423	0.3069	0.0029
60.2700	0.3301	0.0034	2.0400	0.0469	0.3267	0.0034
60.2800	0.3506	0.0038	2.0673	0.0517	0.3468	0.0038
60.2900	0.3714	0.0044	2.0912	0.0569	0.3670	0.0044
60.3000	0.3924	0.0050	2.1119	0.0623	0.3874	0.0050
60.3100	0.4136	0.0056	2.1294	0.0680	0.4080	0.0056
60.3200	0.4350	0.0063	2.1440	0.0739	0.4287	0.0063
60.3300	0.4565	0.0071	2.1557	0.0802	0.4494	0.0071
60.3400	0.4781	0.0079	2.1647	0.0867	0.4702	0.0079
60.3500	0.4998	0.0088	2.1710	0.0935	0.4910	0.0088
60.3600	0.5216	0.0098	2.1746	0.1006	0.5117	0.0098
60.3700	0.5433	0.0109	2.1756	0.1080	0.5325	0.0109
60.3800	0.5651	0.0120	2.1741	0.1156	0.5531	0.0120
60.3900	0.5868	0.0132	2.1701	0.1235	0.5736	0.0132
60.4000	0.6085	0.0144	2.1635	0.1316	0.5940	0.0144
60.4100	0.6300	0.0158	2.1543	0.1400	0.6142	0.0158
60.4200	0.6515	0.0173	2.1426	0.1487	0.6343	0.0173
60.4300	0.6729	0.0188	2.1281	0.1576	0.6541	0.0188
60.4400	0.6941	0.0204	2.1110	0.1667	0.6736	0.0204
60.4500	0.7151	0.0221	2.0910	0.1761	0.6929	0.0221
60.4600	0.7359	0.0239	2.0682	0.1857	0.7119	0.0239
60.4700	0.7564	0.0258	2.0426	0.1955	0.7306	0.0258
