t	x1	x2	dx1	dx2
0.0000	0.0000	0.0000	0.0000	0.0000
0.0100	0.0003	0.0000	0.0666	0.0000
0.0200	0.0013	0.0000	0.1328	0.0000
0.0300	0.0030	0.0000	0.1988	0.0001
0.0400	0.0053	0.0000	0.2643	0.0001
0.0500	0.0083	0.0000	0.3293	0.0002
0.0600	0.0119	0.0000	0.3937	0.0004
0.0700	0.0161	0.0000	0.4574	0.0006
0.0800	0.0210	0.0000	0.5204	0.0009
0.0900	0.0266	0.0000	0.5826	0.0013
0.1000	0.0327	0.0000	0.6440	0.0017
0.1100	0.0394	0.0001	0.7046	0.0022
0.1200	0.0468	0.0001	0.7644	0.0029
0.1300	0.0547	0.0001	0.8233	0.0037
0.1400	0.0632	0.0002	0.8811	0.0045
0.1500	0.0723	0.0002	0.9380	0.0055
0.1600	0.0820	0.0003	0.9937	0.0067
0.1700	0.0922	0.0003	1.0482	0.0080
0.1800	0.1030	0.0004	1.1013	0.0094
0.1900	0.1142	0.0005	1.1527	0.0110
0.2000	0.1260	0.0007	1.2020	0.0128
0.2100	0.1383	0.0008	1.2490	0.0147
0.2200	0.1510	0.0009	1.2935	0.0168
0.2300	0.1641	0.0011	1.3353	0.0191
0.2400	0.1776	0.0013	1.3743	0.0215
0.2500	0.1916	0.0016	1.4105	0.0242
0.2600	0.2058	0.0018	1.4440	0.0271
0.2700	0.2204	0.0021	1.4747	0.0301
0.2800	0.2353	0.0024	1.5029	0.0334
0.2900	0.2505	0.0028	1.5287	0.0369
0.3000	0.2659	0.0032	1.5524	0.0405
0.3100	0.2816	0.0036	1.5742	0.0444
0.3200	0.2974	0.0040	1.5946	0.0485
0.3300	0.3134	0.0045	1.6138	0.0528
0.3400	0.3297	0.0051	1.6318	0.0573
0.3500	0.3461	0.0057	1.6487	0.0620
0.3600	0.3626	0.0063	1.6645	0.0670
0.3700	0.3794	0.0070	1.6791	0.0721
0.3800	0.3962	0.0078	1.6926	0.0775
0.3900	0.4132	0.0086	1.7050	0.0831
0.4000	0.4304	0.0094	1.7161	0.0889
0.4100	0.4476	0.0104	1.7258	0.0949
