t	x1	x2	dx1	dx2
0.0000	0.0000	0.0000	0.0000	0.0000
0.0100	0.0007	0.0000	0.1374	0.0000
0.0200	0.0027	0.0000	0.2719	0.0000
0.0300	0.0061	0.0000	0.4034	0.0001
0.0400	0.0108	0.0000	0.5318	0.0002
0.0500	0.0167	0.0000	0.6571	0.0005
0.0600	0.0239	0.0000	0.7791	0.0008
0.0700	0.0323	0.0000	0.8977	0.0012
0.0800	0.0419	0.0000	1.0130	0.0018
0.0900	0.0526	0.0001	1.1251	0.0025
0.1000	0.0644	0.0001	1.2338	0.0034
0.1100	0.0772	0.0001	1.3393	0.0045
0.1200	0.0911	0.0002	1.4415	0.0057
0.1300	0.1061	0.0002	1.5404	0.0072
0.1400	0.1219	0.0003	1.6360	0.0089
0.1500	0.1388	0.0004	1.7282	0.0108
0.1600	0.1565	0.0005	1.8171	0.0130
0.1700	0.1751	0.0007	1.9025	0.0155
0.1800	0.1945	0.0008	1.9839	0.0182
0.1900	0.2148	0.0010	2.0611	0.0212
0.2000	0.2358	0.0013	2.1336	0.0245
0.2100	0.2574	0.0015	2.2012	0.0280
0.2200	0.2797	0.0018	2.2637	0.0319
0.2300	0.3027	0.0022	2.3211	0.0362
0.2400	0.3261	0.0026	2.3732	0.0407
0.2500	0.3501	0.0030	2.4201	0.0456
0.2600	0.3745	0.0035	2.4619	0.0508
0.2700	0.3993	0.0040	2.4989	0.0563
0.2800	0.4245	0.0046	2.5312	0.0622
0.2900	0.4499	0.0053	2.5593	0.0684
0.3000	0.4757	0.0060	2.5836	0.0750
0.3100	0.5016	0.0068	2.6046	0.0819
0.3200	0.5277	0.0076	2.6226	0.0891
0.3300	0.5540	0.0085	2.6381	0.0967
0.3400	0.5805	0.0095	2.6513	0.1047
0.3500	0.6071	0.0106	2.6625	0.1129
0.3600	0.6338	0.0118	2.6719	0.1215
0.3700	0.6606	0.0131	2.6795	0.1305
0.3800	0.6874	0.0144	2.6854	0.1398
0.3900	0.7143	0.0159	2.6896	0.1494
0.4000	0.7412	0.0174	2.6921	0.1593
0.4100	0.7681	0.0190	2.6928	0.1695
0.4200	0.7950	0.0208	2.6914	0.1801
0.4300	0.8219	0.0226	2.6876	0.1910
0.4400	0.8487	0.0246	2.6814	0.2022
0.4500	0.8755	0.0267	2.6721	0.2137
0.4600	0.9021	0.0289	2.6595	0.2255
0.4700	0.9287	0.0312	2.6440	0.2375
0.4800	0.9551	0.0336	2.6252	0.2499
0.4900	0.9813	0.0362	2.6028	0.2625
0.5000	1.0073	0.0389	2.5766	0.2754
0.5100	1.0329	0.0417	2.5463	0.2885
0.5200	1.0582	0.0447	2.5118	0.3019
0.5300	1.0831	0.0477	2.4731	0.3155
0.5400	1.1076	0.0510	2.4300	0.3293
0.5500	1.1316	0.0543	2.3827	0.3434
0.5600	1.1551	0.0578	2.3313	0.3576
0.5700	1.1781	0.0615	2.2761	0.3721
0.5800	1.2005	0.0653	2.2172	0.3867
0.5900	1.2223	0.0692	2.1549	0.4014
0.6000	1.2434	0.0733	2.0898	0.4163
0.6100	1.2640	0.0776	2.0223	0.4314
0.6200	1.2839	0.0819	1.9528	0.4465
0.6300	1.3030	0.0865	1.8820	0.4618
0.6400	1.3216	0.0912	1.8106	0.4771
0.6500	1.3394	0.0960	1.7393	0.4924
0.6600	1.3565	0.1010	1.6689	0.5078
0.6700	1.3728	0.1062	1.6003	0.5232
