t	x1	x2	dx1	dx2
0.0000	0.0000	0.0000	0.0000	0.0000
0.0100	0.0003	0.0000	0.0550	0.0000
0.0200	0.0011	0.0000	0.1099	0.0000
0.0300	0.0025	0.0000	0.1647	0.0000
0.0400	0.0044	0.0000	0.2192	0.0001
0.0500	0.0069	0.0000	0.2735	0.0002
0.0600	0.0099	0.0000	0.3275	0.0003
0.0700	0.0134	0.0000	0.3810	0.0005
0.0800	0.0175	0.0000	0.4340	0.0007
0.0900	0.0221	0.0000	0.4865	0.0010
0.1000	0.0272	0.0000	0.5385	0.0014
0.1100	0.0328	0.0001	0.5901	0.0019
0.1200	0.0390	0.0001	0.6410	0.0024
0.1300	0.0457	0.0001	0.6914	0.0030
0.1400	0.0528	0.0001	0.7411	0.0038
0.1500	0.0605	0.0002	0.7901	0.0046
0.1600	0.0686	0.0002	0.8382	0.0056
0.1700	0.0773	0.0003	0.8854	0.0067
0.1800	0.0863	0.0004	0.9316	0.0079
0.1900	0.0959	0.0004	0.9765	0.0092
0.2000	0.1059	0.0005	1.0197	0.0107
0.2100	0.1163	0.0007	1.0611	0.0123
0.2200	0.1271	0.0008	1.1004	0.0141
0.2300	0.1383	0.0009	1.1374	0.0160
0.2400	0.1498	0.0011	1.1721	0.0181
0.2500	0.1617	0.0013	1.2044	0.0203
0.2600	0.1739	0.0015	1.2344	0.0227
0.2700	0.1863	0.0018	1.2620	0.0253
0.2800	0.1991	0.0020	1.2875	0.0281
0.2900	0.2121	0.0023	1.3110	0.0310
0.3000	0.2253	0.0026	1.3327	0.0341
0.3100	0.2388	0.0030	1.3528	0.0374
0.3200	0.2524	0.0034	1.3717	0.0409
0.3300	0.2662	0.0038	1.3897	0.0445
0.3400	0.2802	0.0043	1.4069	0.0484
0.3500	0.2943	0.0048	1.4232	0.0524
0.3600	0.3086	0.0053	1.4387	0.0566
0.3700	0.3231	0.0059	1.4533	0.0610
0.3800	0.3377	0.0066	1.4671	0.0656
0.3900	0.3525	0.0072	1.4798	0.0703
0.4000	0.3673	0.0080	1.4916	0.0753
0.4100	0.3823	0.0087	1.5023	0.0804
0.4200	0.3974	0.0096	1.5117	0.0857
0.4300	0.4126	0.0105	1.5198	0.0912
0.4400	0.4278	0.0114	1.5264	0.0969
0.4500	0.4431	0.0124	1.5314	0.1027
0.4600	0.4584	0.0135	1.5346	0.1088
0.4700	0.4737	0.0146	1.5358	0.1150
0.4800	0.4891	0.0158	1.5347	0.1214
0.4900	0.5044	0.0170	1.5312	0.1279
0.5000	0.5197	0.0183	1.5250	0.1346
0.5100	0.5349	0.0197	1.5152	0.1415
0.5200	0.5500	0.0211	1.5019	0.1486
0.5300	0.5649	0.0227	1.4853	0.1557
0.5400	0.5796	0.0243	1.4657	0.1631
0.5500	0.5942	0.0259	1.4433	0.1705
0.5600	0.6085	0.0277	1.4184	0.1782
0.5700	0.6225	0.0295	1.3911	0.1859
0.5800	0.6363	0.0314	1.3616	0.1937
0.5900	0.6498	0.0334	1.3302	0.2017
0.6000	0.6629	0.0354	1.2970	0.2098
0.6100	0.6757	0.0376	1.2622	0.2180
0.6200	0.6882	0.0398	1.2260	0.2262
0.6300	0.7003	0.0421	1.1886	0.2346
0.6400	0.7120	0.0445	1.1500	0.2430
0.6500	0.7233	0.0469	1.1105	0.2515
0.6600	0.7343	0.0495	1.0702	0.2600
0.6700	0.7448	0.0521	1.0291	0.2686
0.6800	0.7548	0.0549	0.9875	0.2773
0.6900	0.7645	0.0577	0.9455	0.2859
0.7000	0.7737	0.0606	0.9030	0.2946
0.7100	0.7826	0.0636	0.8603	0.3033
0.7200	0.7909	0.0667	0.8174	0.3119
0.7300	0.7989	0.0698	0.7744	0.3206
0.7400	0.8064	0.0731	0.7314	0.3292
0.7500	0.8135	0.0764	0.6883	0.3378
0.7600	0.8202	0.0798	0.6447	0.3463
0.7700	0.8264	0.0833	0.6002	0.3548
0.7800	0.8322	0.0869	0.5551	0.3632
0.7900	0.8375	0.0906	0.5097	0.3715
0.8000	0.8424	0.0943	0.4641	0.3797
0.8100	0.8468	0.0982	0.4185	0.3879
0.8200	0.8508	0.1021	0.3729	0.3959
0.8300	0.8543	0.1061	0.3276	0.4039
0.8400	0.8574	0.1102	0.2826	0.4117
0.8500	0.8600	0.1143	0.2381	0.4193
0.8600	0.8622	0.1186	0.1940	0.4268
0.8700	0.8639	0.1229	0.1504	0.4342
0.8800	0.8652	0.1272	0.1074	0.4414
0.8900	0.8661	0.1317	0.0649	0.4484
0.9000	0.8665	0.1362	0.0230	0.4552
0.9100	0.8665	0.1408	-0.0184	0.4619
0.9200	0.8661	0.1455	-0.0593	0.4683
0.9300	0.8652	0.1502	-0.0998	0.4746
0.9400	0.8640	0.1549	-0.1401	0.4806
