t	x1	x2	dx1	dx2
0.0000	0.0000	0.0000	0.0000	0.0000
0.0100	0.0006	0.0000	0.1170	0.0000
0.0200	0.0023	0.0000	0.2321	0.0000
0.0300	0.0052	0.0000	0.3452	0.0001
0.0400	0.0092	0.0000	0.4563	0.0002
0.0500	0.0143	0.0000	0.5651	0.0004
0.0600	0.0205	0.0000	0.6717	0.0007
0.0700	0.0278	0.0000	0.7758	0.0010
0.0800	0.0360	0.0000	0.8775	0.0015
0.0900	0.0453	0.0001	0.9768	0.0022
0.1000	0.0556	0.0001	1.0737	0.0029
0.1100	0.0668	0.0001	1.1681	0.0038
0.1200	0.0789	0.0002	1.2600	0.0049
0.1300	0.0920	0.0002	1.3494	0.0062
0.1400	0.1059	0.0003	1.4362	0.0077
0.1500	0.1207	0.0004	1.5204	0.0094
0.1600	0.1363	0.0005	1.6019	0.0113
0.1700	0.1527	0.0006	1.6806	0.0134
0.1800	0.1699	0.0007	1.7562	0.0158
0.1900	0.1878	0.0009	1.8281	0.0184
0.2000	0.2065	0.0011	1.8961	0.0213
0.2100	0.2257	0.0013	1.9599	0.0244
0.2200	0.2456	0.0016	2.0194	0.0278
0.2300	0.2661	0.0019	2.0743	0.0316
0.2400	0.2871	0.0022	2.1246	0.0355
0.2500	0.3086	0.0026	2.1704	0.0398
0.2600	0.3305	0.0030	2.2117	0.0444
0.2700	0.3528	0.0035	2.2487	0.0493
0.2800	0.3754	0.0040	2.2815	0.0545
0.2900	0.3984	0.0046	2.3106	0.0600
0.3000	0.4216	0.0052	2.3363	0.0659
0.3100	0.4451	0.0059	2.3590	0.0720
0.3200	0.4688	0.0067	2.3791	0.0784
0.3300	0.4927	0.0075	2.3969	0.0852
0.3400	0.5167	0.0084	2.4127	0.0922
0.3500	0.5410	0.0093	2.4265	0.0996
0.3600	0.5653	0.0103	2.4386	0.1073
0.3700	0.5898	0.0115	2.4490	0.1153
0.3800	0.6143	0.0127	2.4578	0.1236
0.3900	0.6390	0.0139	2.4650	0.1322
0.4000	0.6636	0.0153	2.4705	0.1411
0.4100	0.6884	0.0168	2.4742	0.1503
0.4200	0.7131	0.0183	2.4760	0.1598
0.4300	0.7379	0.0200	2.4757	0.1696
0.4400	0.7626	0.0217	2.4729	0.1796
0.4500	0.7872	0.0235	2.4674	0.1900
0.4600	0.8119	0.0255	2.4589	0.2006
0.4700	0.8364	0.0276	2.4470	0.2115
0.4800	0.8608	0.0297	2.4320	0.2227
0.4900	0.8851	0.0320	2.4135	0.2341
0.5000	0.9092	0.0344	2.3913	0.2457
0.5100	0.9330	0.0369	2.3654	0.2576
0.5200	0.9566	0.0396	2.3355	0.2697
0.5300	0.9798	0.0423	2.3017	0.2821
0.5400	1.0026	0.0452	2.2638	0.2946
0.5500	1.0250	0.0482	2.2220	0.3074
0.5600	1.0469	0.0514	2.1764	0.3204
0.5700	1.0684	0.0546	2.1270	0.3335
0.5800	1.0893	0.0580	2.0742	0.3468
0.5900	1.1097	0.0616	2.0181	0.3602
0.6000	1.1295	0.0652	1.9592	0.3738
0.6100	1.1488	0.0690	1.8976	0.3875
0.6200	1.1674	0.0730	1.8340	0.4014
0.6300	1.1854	0.0771	1.7687	0.4153
0.6400	1.2028	0.0813	1.7022	0.4293
0.6500	1.2195	0.0857	1.6352	0.4434
0.6600	1.2356	0.0902	1.5683	0.4575
0.6700	1.2510	0.0948	1.5022	0.4716
0.6800	1.2657	0.0996	1.4376	0.4858
0.6900	1.2798	0.1045	1.3752	0.4999
0.7000	1.2933	0.1096	1.3137	0.5140
0.7100	1.3061	0.1148	1.2524	0.5281
0.7200	1.3183	0.1201	1.1917	0.5421
0.7300	1.3299	0.1256	1.1314	0.5561
0.7400	1.3409	0.1313	1.0718	0.5700
0.7500	1.3513	0.1370	1.0128	0.5839
0.7600	1.3611	0.1429	0.9546	0.5976
0.7700	1.3704	0.1490	0.8971	0.6112
0.7800	1.3791	0.1552	0.8405	0.6246
0.7900	1.3872	0.1615	0.7848	0.6379
0.8000	1.3948	0.1679	0.7300	0.6511
0.8100	1.4019	0.1745	0.6761	0.6641
0.8200	1.4084	0.1812	0.6231	0.6769
0.8300	1.4144	0.1880	0.5711	0.6895
0.8400	1.4198	0.1950	0.5201	0.7018
0.8500	1.4248	0.2021	0.4700	0.7140
0.8600	1.4293	0.2093	0.4208	0.7259
0.8700	1.4332	0.2166	0.3725	0.7376
0.8800	1.4367	0.2240	0.3251	0.7490
0.8900	1.4397	0.2316	0.2784	0.7601
0.9000	1.4423	0.2392	0.2326	0.7710
0.9100	1.4444	0.2470	0.1875	0.7815
0.9200	1.4460	0.2549	0.1430	0.7917
0.9300	1.4472	0.2628	0.0991	0.8017
0.9400	1.4480	0.2709	0.0557	0.8113
0.9500	1.4483	0.2791	0.0126	0.8205
0.9600	1.4482	0.2873	-0.0298	0.8295
0.9700	1.4477	0.2956	-0.0713	0.8380
0.9800	1.4468	0.3041	-0.1113	0.8462
0.9900	1.4455	0.3126	-0.1496	0.8540
1.0000	1.4438	0.3211	-0.1857	0.8615
1.0100	1.4418	0.3298	-0.2195	0.8685
1.0200	1.4394	0.3385	-0.2508	0.8751
1.0300	1.4368	0.3473	-0.2794	0.8814
1.0400	1.4339	0.3561	-0.3053	0.8872
1.0500	1.4307	0.3650	-0.3285	0.8925
1.0600	1.4273	0.3740	-0.3491	0.8975
1.0700	1.4237	0.3830	-0.3672	0.9020
1.0800	1.4200	0.3920	-0.3830	0.9061
1.0900	1.4161	0.4011	-0.3967	0.9098
1.1000	1.4120	0.4102	-0.4082	0.9130
1.1100	1.4079	0.4194	-0.4176	0.9158
1.1200	1.4037	0.4285	-0.4249	0.9181
1.1300	1.3994	0.4377	-0.4300	0.9199
1.1400	1.3951	0.4469	-0.4326	0.9214
1.1500	1.3908	0.4561	-0.4327	0.9223
1.1600	1.3864	0.4654	-0.4299	0.9228
1.1700	1.3822	0.4746	-0.4240	0.9229
1.1800	1.3780	0.4838	-0.4146	0.9225
1.1900	1.3739	0.4931	-0.4009	0.9216
1.2000	1.3700	0.5023	-0.3834	0.9203
1.2100	1.3663	0.5115	-0.3631	0.9186
1.2200	1.3628	0.5206	-0.3406	0.9164
1.2300	1.3595	0.5298	-0.3165	0.9138
1.2400	1.3564	0.5389	-0.2914	0.9107
1.2500	1.3536	0.5480	-0.2657	0.9073
1.2600	1.3510	0.5571	-0.2398	0.9034
1.2700	1.3487	0.5661	-0.2142	0.8991
1.2800	1.3467	0.5750	-0.1890	0.8944
1.2900	1.3449	0.5840	-0.1645	0.8892
1.3000	1.3433	0.5928	-0.1406	0.8837
1.3100	1.3421	0.6016	-0.1176	0.8778
1.3200	1.3410	0.6104	-0.0953	0.8715
1.3300	1.3402	0.6190	-0.0737	0.8648
1.3400	1.3396	0.6277	-0.0525	0.8577
1.3500	1.3393	0.6362	-0.0315	0.8503
1.3600	1.3390	0.6447	-0.0103	0.8425
1.3700	1.3391	0.6531	0.0119	0.8344
1.3800	1.3393	0.6614	0.0348	0.8259
1.3900	1.3398	0.6696	0.0582	0.8170
1.4000	1.3405	0.6777	0.0818	0.8079
1.4100	1.3414	0.6857	0.1052	0.7984
1.4200	1.3426	0.6937	0.1283	0.7885
1.4300	1.3440	0.7015	0.1509	0.7784
1.4400	1.3455	0.7092	0.1729	0.7680
1.4500	1.3473	0.7169	0.1941	0.7572
1.4600	1.3494	0.7244	0.2145	0.7462
1.4700	1.3516	0.7318	0.2339	0.7349
1.4800	1.3540	0.7391	0.2524	0.7233
1.4900	1.3566	0.7462	0.2700	0.7115
1.5000	1.3593	0.7533	0.2866	0.6994
1.5100	1.3623	0.7602	0.3025	0.6870
1.5200	1.3654	0.7670	0.3176	0.6744
1.5300	1.3687	0.7737	0.3321	0.6615
1.5400	1.3721	0.7803	0.3463	0.6485
1.5500	1.3757	0.7867	0.3602	0.6352
1.5600	1.3794	0.7930	0.3741	0.6217
1.5700	1.3832	0.7991	0.3883	0.6080
1.5800	1.3872	0.8051	0.4025	0.5940
1.5900	1.3913	0.8110	0.4164	0.5799
1.6000	1.3955	0.8167	0.4299	0.5657
1.6100	1.3999	0.8223	0.4431	0.5512
1.6200	1.4044	0.8277	0.4558	0.5366
1.6300	1.4090	0.8330	0.4683	0.5218
1.6400	1.4137	0.8382	0.4803	0.5068
1.6500	1.4186	0.8432	0.4919	0.4918
1.6600	1.4235	0.8480	0.5032	0.4765
1.6700	1.4286	0.8527	0.5141	0.4612
