t	x1	x2	dx1	dx2	x1_rel	x2_rel
60.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
60.0100	0.0002	0.0000	0.0455	0.0000	0.0002	0.0000
60.0200	0.0009	0.0000	0.0911	0.0000	0.0009	0.0000
60.0300	0.0020	0.0000	0.1368	0.0000	0.0020	0.0000
60.0400	0.0036	0.0000	0.1826	0.0001	0.0036	0.0000
60.0500	0.0057	0.0000	0.2283	0.0002	0.0057	0.0000
60.0600	0.0082	0.0000	0.2737	0.0003	0.0082	0.0000
60.0700	0.0112	0.0000	0.3186	0.0004	0.0112	0.0000
60.0800	0.0146	0.0000	0.3630	0.0006	0.0146	0.0000
60.0900	0.0184	0.0000	0.4065	0.0009	0.0184	0.0000
60.1000	0.0227	0.0000	0.4491	0.0012	0.0227	0.0000
60.1100	0.0274	0.0000	0.4906	0.0016	0.0274	0.0000
60.1200	0.0325	0.0001	0.5311	0.0020	0.0325	0.0001
60.1300	0.0380	0.0001	0.5703	0.0025	0.0379	0.0001
60.1400	0.0439	0.0001	0.6083	0.0031	0.0438	0.0001
60.1500	0.0502	0.0001	0.6450	0.0038	0.0500	0.0001
60.1600	0.0568	0.0002	0.6806	0.0046	0.0566	0.0002
60.1700	0.0638	0.0002	0.7149	0.0055	0.0636	0.0002
60.1800	0.0711	0.0003	0.7478	0.0065	0.0708	0.0003
60.1900	0.0788	0.0004	0.7793	0.0076	0.0784	0.0004
60.2000	0.0867	0.0005	0.8094	0.0088	0.0862	0.0005
60.2100	0.0949	0.0005	0.8379	0.0102	0.0944	0.0005
60.2200	0.1034	0.0007	0.8648	0.0116	0.1028	0.0007
60.2300	0.1122	0.0008	0.8901	0.0132	0.1114	0.0008
60.2400	0.1212	0.0009	0.9137	0.0148	0.1203	0.0009
60.2500	0.1305	0.0011	0.9357	0.0167	0.1294	0.0011
60.2600	0.1399	0.0013	0.9558	0.0186	0.1387	0.0013
60.2700	0.1496	0.0015	0.9743	0.0207	0.1481	0.0015
60.2800	0.1594	0.0017	0.9909	0.0229	0.1578	0.0017
60.2900	0.1694	0.0019	1.0058	0.0252	0.1675	0.0019
60.3000	0.1795	0.0022	1.0193	0.0277	0.1773	0.0022
60.3100	0.1898	0.0025	1.0316	0.0303	0.1873	0.0025
60.3200	0.2002	0.0028	1.0427	0.0331	0.1974	0.0028
60.3300	0.2106	0.0031	1.0529	0.0360	0.2075	0.0031
60.3400	0.2212	0.0035	1.0621	0.0390	0.2177	0.0035
60.3500	0.2319	0.0039	1.0705	0.0422	0.2280	0.0039
60.3600	0.2427	0.0043	1.0781	0.0455	0.2383	0.0043
60.3700	0.2535	0.0048	1.0849	0.0489	0.2487	0.0048
60.3800	0.2644	0.0053	1.0907	0.0525	0.2591	0.0053
60.3900	0.2753	0.0059	1.0956	0.0562	0.2695	0.0059
60.4000	0.2863	0.0064	1.0994	0.0600	0.2799	0.0064
60.4100	0.2973	0.0071	1.1019	0.0640	0.2902	0.0071
60.4200	0.3083	0.0077	1.1030	0.0681	0.3006	0.0077
60.4300	0.3193	0.0084	1.1024	0.0724	0.3109	0.0084
60.4400	0.3303	0.0092	1.0998	0.0767	0.3211	0.0092
60.4500	0.3413	0.0100	1.0951	0.0812	0.3313	0.0100
60.4600	0.3522	0.0108	1.0878	0.0858	0.3414	0.0108
60.4700	0.3630	0.0117	1.0783	0.0906	0.3514	0.0117
60.4800	0.3738	0.0126	1.0666	0.0954	0.3612	0.0126
60.4900	0.3844	0.0136	1.0527	0.1004	0.3708	0.0136
60.5000	0.3948	0.0146	1.0369	0.1055	0.3802	0.0146
60.5100	0.4051	0.0157	1.0192	0.1107	0.3894	0.0157
60.5200	0.4152	0.0168	0.9998	0.1159	0.3984	0.0168
60.5300	0.4251	0.0180	0.9787	0.1213	0.4071	0.0180
60.5400	0.4348	0.0193	0.9560	0.1268	0.4156	0.0193
60.5500	0.4443	0.0205	0.9319	0.1323	0.4237	0.0205
60.5600	0.4535	0.0219	0.9064	0.1380	0.4316	0.0219
60.5700	0.4624	0.0233	0.8796	0.1437	0.4391	0.0233
60.5800	0.4710	0.0248	0.8518	0.1494	0.4463	0.0248
60.5900	0.4794	0.0263	0.8228	0.1553	0.4531	0.0263
60.6000	0.4875	0.0279	0.7929	0.1611	0.4596	0.0279
60.6100	0.4952	0.0295	0.7622	0.1671	0.4657	0.0295
60.6200	0.5027	0.0312	0.7306	0.1730	0.4715	0.0312
60.6300	0.5098	0.0330	0.6984	0.1790	0.4768	0.0330
60.6400	0.5166	0.0348	0.6656	0.1850	0.4818	0.0348
60.6500	0.5231	0.0367	0.6323	0.1911	0.4864	0.0367
60.6600	0.5293	0.0386	0.5986	0.1971	0.4906	0.0386
60.6700	0.5351	0.0406	0.5646	0.2032	0.4945	0.0406
60.6800	0.5406	0.0427	0.5308	0.2092	0.4979	0.0427
60.6900	0.5457	0.0448	0.4974	0.2152	0.5009	0.0448
60.7000	0.5506	0.0470	0.4643	0.2212	0.5036	0.0470
60.7100	0.5551	0.0492	0.4315	0.2272	0.5058	0.0492
60.7200	0.5593	0.0515	0.3988	0.2331	0.5077	0.0515
60.7300	0.5631	0.0539	0.3662	0.2390	0.5092	0.0539
60.7400	0.5666	0.0563	0.3337	0.2449	0.5103	0.0563
60.7500	0.5698	0.0588	0.3012	0.2507	0.5110	0.0588
60.7600	0.5726	0.0613	0.2687	0.2564	0.5113	0.0613
60.7700	0.5752	0.0639	0.2362	0.2620	0.5112	0.0639
60.7800	0.5773	0.0666	0.2037	0.2676	0.5108	0.0666
60.7900	0.5792	0.0693	0.1712	0.2731	0.5099	0.0693
60.8000	0.5807	0.0720	0.1387	0.2785	0.5087	0.0720
60.8100	0.5819	0.0748	0.1062	0.2838	0.5071	0.0748
60.8200	0.5828	0.0777	0.0738	0.2890	0.5051	0.0777
60.8300	0.5833	0.0806	0.0414	0.2940	0.5027	0.0806
