t	x1	x2	dx1	dx2
0.0000	0.0000	0.0000	0.0000	0.0000
0.0100	0.0003	0.0000	0.0580	0.0000
0.0200	0.0012	0.0000	0.1160	0.0000
0.0300	0.0026	0.0000	0.1737	0.0000
0.0400	0.0046	0.0000	0.2312	0.0001
0.0500	0.0072	0.0000	0.2884	0.0002
0.0600	0.0104	0.0000	0.3452	0.0003
0.0700	0.0141	0.0000	0.4014	0.0005
0.0800	0.0184	0.0000	0.4571	0.0008
0.0900	0.0233	0.0000	0.5122	0.0011
0.1000	0.0287	0.0000	0.5668	0.0015
0.1100	0.0346	0.0001	0.6208	0.0020
0.1200	0.0411	0.0001	0.6742	0.0025
0.1300	0.0481	0.0001	0.7269	0.0032
0.1400	0.0556	0.0001	0.7789	0.0040
0.1500	0.0637	0.0002	0.8300	0.0049
0.1600	0.0722	0.0002	0.8802	0.0059
0.1700	0.0813	0.0003	0.9294	0.0070
0.1800	0.0908	0.0004	0.9775	0.0083
0.1900	0.1008	0.0005	1.0242	0.0097
0.2000	0.1113	0.0006	1.0692	0.0112
0.2100	0.1222	0.0007	1.1121	0.0129
0.2200	0.1335	0.0008	1.1529	0.0148
0.2300	0.1452	0.0010	1.1913	0.0168
0.2400	0.1573	0.0012	1.2273	0.0190
0.2500	0.1697	0.0014	1.2608	0.0214
0.2600	0.1825	0.0016	1.2919	0.0239
0.2700	0.1956	0.0019	1.3205	0.0266
0.2800	0.2089	0.0021	1.3468	0.0295
0.2900	0.2225	0.0024	1.3710	0.0326
0.3000	0.2363	0.0028	1.3933	0.0359
0.3100	0.2504	0.0032	1.4140	0.0393
0.3200	0.2646	0.0036	1.4333	0.0429
0.3300	0.2791	0.0040	1.4517	0.0468
0.3400	0.2937	0.0045	1.4692	0.0508
0.3500	0.3084	0.0050	1.4858	0.0550
0.3600	0.3234	0.0056	1.5015	0.0594
0.3700	0.3385	0.0062	1.5163	0.0640
0.3800	0.3537	0.0069	1.5301	0.0688
0.3900	0.3691	0.0076	1.5429	0.0738
0.4000	0.3846	0.0084	1.5546	0.0790
0.4100	0.4002	0.0092	1.5650	0.0843
0.4200	0.4159	0.0100	1.5742	0.0899
0.4300	0.4317	0.0110	1.5820	0.0956
0.4400	0.4475	0.0120	1.5881	0.1016
0.4500	0.4634	0.0130	1.5926	0.1077
0.4600	0.4794	0.0141	1.5952	0.1140
0.4700	0.4953	0.0153	1.5957	0.1205
0.4800	0.5113	0.0165	1.5939	0.1272
0.4900	0.5272	0.0178	1.5896	0.1340
0.5000	0.5430	0.0192	1.5826	0.1410
0.5100	0.5588	0.0207	1.5720	0.1482
0.5200	0.5744	0.0222	1.5577	0.1556
0.5300	0.5899	0.0238	1.5399	0.1631
0.5400	0.6052	0.0254	1.5189	0.1707
0.5500	0.6202	0.0272	1.4949	0.1785
0.5600	0.6351	0.0290	1.4683	0.1864
0.5700	0.6496	0.0309	1.4393	0.1945
0.5800	0.6639	0.0329	1.4081	0.2027
0.5900	0.6778	0.0350	1.3750	0.2110
0.6000	0.6914	0.0371	1.3401	0.2194
0.6100	0.7046	0.0393	1.3037	0.2279
0.6200	0.7175	0.0417	1.2659	0.2366
0.6300	0.7300	0.0441	1.2269	0.2452
0.6400	0.7421	0.0466	1.1869	0.2540
0.6500	0.7538	0.0492	1.1460	0.2629
0.6600	0.7651	0.0518	1.1044	0.2717
0.6700	0.7759	0.0546	1.0621	0.2807
0.6800	0.7863	0.0574	1.0193	0.2897
0.6900	0.7963	0.0604	0.9761	0.2987
0.7000	0.8058	0.0634	0.9325	0.3077
0.7100	0.8149	0.0665	0.8886	0.3167
0.7200	0.8236	0.0698	0.8445	0.3257
0.7300	0.8318	0.0731	0.8001	0.3347
0.7400	0.8395	0.0765	0.7557	0.3437
0.7500	0.8468	0.0799	0.7110	0.3526
0.7600	0.8537	0.0835	0.6661	0.3614
0.7700	0.8602	0.0872	0.6205	0.3702
0.7800	0.8661	0.0909	0.5743	0.3790
0.7900	0.8716	0.0947	0.5277	0.3876
0.8000	0.8767	0.0987	0.4809	0.3962
0.8100	0.8813	0.1027	0.4340	0.4046
0.8200	0.8854	0.1067	0.3872	0.4130
0.8300	0.8891	0.1109	0.3406	0.4212
0.8400	0.8923	0.1152	0.2943	0.4293
0.8500	0.8950	0.1195	0.2484	0.4373
0.8600	0.8973	0.1239	0.2030	0.4451
0.8700	0.8991	0.1284	0.1581	0.4527
0.8800	0.9005	0.1330	0.1138	0.4602
0.8900	0.9014	0.1376	0.0701	0.4674
0.9000	0.9019	0.1423	0.0270	0.4745
0.9100	0.9019	0.1471	-0.0155	0.4814
0.9200	0.9015	0.1519	-0.0575	0.4881
0.9300	0.9007	0.1569	-0.0989	0.4946
0.9400	0.8995	0.1618	-0.1399	0.5008
0.9500	0.8978	0.1669	-0.1804	0.5068
0.9600	0.8958	0.1720	-0.2207	0.5126
0.9700	0.8934	0.1771	-0.2608	0.5181
0.9800	0.8906	0.1823	-0.2998	0.5234
0.9900	0.8874	0.1876	-0.3375	0.5284
1.0000	0.8839	0.1929	-0.3737	0.5331
1.0100	0.8799	0.1983	-0.4085	0.5375
1.0200	0.8757	0.2037	-0.4418	0.5417
1.0300	0.8711	0.2091	-0.4735	0.5455
1.0400	0.8662	0.2146	-0.5036	0.5491
1.0500	0.8611	0.2201	-0.5320	0.5523
1.0600	0.8556	0.2256	-0.5587	0.5552
1.0700	0.8499	0.2312	-0.5837	0.5578
1.0800	0.8439	0.2368	-0.6068	0.5601
1.0900	0.8378	0.2424	-0.6280	0.5621
1.1000	0.8314	0.2480	-0.6472	0.5637
1.1100	0.8248	0.2536	-0.6644	0.5650
1.1200	0.8181	0.2593	-0.6795	0.5660
1.1300	0.8112	0.2650	-0.6924	0.5666
1.1400	0.8042	0.2706	-0.7030	0.5669
1.1500	0.7971	0.2763	-0.7113	0.5668
1.1600	0.7900	0.2820	-0.7172	0.5664
1.1700	0.7828	0.2876	-0.7206	0.5657
1.1800	0.7756	0.2933	-0.7209	0.5646
1.1900	0.7684	0.2989	-0.7177	0.5631
1.2000	0.7613	0.3045	-0.7115	0.5614
1.2100	0.7542	0.3102	-0.7028	0.5593
1.2200	0.7472	0.3157	-0.6919	0.5568
1.2300	0.7404	0.3213	-0.6792	0.5540
1.2400	0.7336	0.3268	-0.6650	0.5509
1.2500	0.7270	0.3323	-0.6497	0.5475
1.2600	0.7206	0.3378	-0.6334	0.5437
1.2700	0.7143	0.3432	-0.6163	0.5396
1.2800	0.7081	0.3486	-0.5986	0.5352
1.2900	0.7022	0.3539	-0.5805	0.5305
1.3000	0.6965	0.3592	-0.5620	0.5254
1.3100	0.6909	0.3644	-0.5432	0.5201
1.3200	0.6856	0.3696	-0.5240	0.5144
1.3300	0.6805	0.3747	-0.5045	0.5085
1.3400	0.6756	0.3797	-0.4846	0.5023
1.3500	0.6709	0.3847	-0.4641	0.4958
1.3600	0.6664	0.3896	-0.4430	0.4890
1.3700	0.6621	0.3945	-0.4209	0.4820
1.3800	0.6581	0.3993	-0.3978	0.4747
1.3900	0.6542	0.4040	-0.3734	0.4671
1.4000	0.6506	0.4086	-0.3481	0.4593
1.4100	0.6472	0.4132	-0.3221	0.4513
1.4200	0.6441	0.4177	-0.2954	0.4430
1.4300	0.6413	0.4220	-0.2683	0.4345
1.4400	0.6388	0.4263	-0.2409	0.4257
1.4500	0.6365	0.4306	-0.2133	0.4168
1.4600	0.6345	0.4347	-0.1856	0.4076
1.4700	0.6327	0.4387	-0.1578	0.3983
1.4800	0.6313	0.4426	-0.1302	0.3888
1.4900	0.6301	0.4465	-0.1027	0.3790
1.5000	0.6292	0.4502	-0.0753	0.3691
1.5100	0.6286	0.4539	-0.0481	0.3591
1.5200	0.6282	0.4574	-0.0212	0.3489
1.5300	0.6281	0.4608	0.0056	0.3385
1.5400	0.6284	0.4642	0.0322	0.3280
1.5500	0.6288	0.4674	0.0587	0.3174
1.5600	0.6296	0.4705	0.0850	0.3066
1.5700	0.6306	0.4735	0.1114	0.2958
1.5800	0.6319	0.4764	0.1378	0.2848
1.5900	0.6334	0.4792	0.1644	0.2737
1.6000	0.6352	0.4819	0.1911	0.2625
1.6100	0.6372	0.4845	0.2174	0.2513
1.6200	0.6395	0.4869	0.2433	0.2400
1.6300	0.6421	0.4893	0.2688	0.2286
1.6400	0.6449	0.4915	0.2940	0.2172
1.6500	0.6479	0.4936	0.3188	0.2057
1.6600	0.6512	0.4956	0.3432	0.1942
1.6700	0.6548	0.4975	0.3672	0.1826
1.6800	0.6586	0.4993	0.3909	0.1710
1.6900	0.6626	0.5009	0.4142	0.1594
1.7000	0.6669	0.5025	0.4371	0.1479
1.7100	0.6714	0.5039	0.4596	0.1363
1.7200	0.6761	0.5052	0.4817	0.1247
1.7300	0.6810	0.5064	0.5033	0.1131
1.7400	0.6861	0.5074	0.5246	0.1016
1.7500	0.6915	0.5084	0.5454	0.0901
1.7600	0.6971	0.5092	0.5658	0.0787
1.7700	0.7028	0.5100	0.5856	0.0673
1.7800	0.7088	0.5106	0.6050	0.0559
1.7900	0.7149	0.5111	0.6238	0.0447
1.8000	0.7212	0.5115	0.6419	0.0335
1.8100	0.7278	0.5118	0.6593	0.0224
1.8200	0.7344	0.5119	0.6759	0.0113
