t	x1	x2	dx1	dx2	x1_rel	x2_rel
60.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
60.0100	0.0003	0.0000	0.0500	0.0000	0.0003	0.0000
60.0200	0.0010	0.0000	0.1002	0.0000	0.0010	0.0000
60.0300	0.0023	0.0000	0.1503	0.0000	0.0023	0.0000
60.0400	0.0040	0.0000	0.2004	0.0001	0.0040	0.0000
60.0500	0.0063	0.0000	0.2504	0.0002	0.0063	0.0000
60.0600	0.0090	0.0000	0.3000	0.0003	0.0090	0.0000
60.0700	0.0123	0.0000	0.3490	0.0005	0.0123	0.0000
60.0800	0.0160	0.0000	0.3974	0.0007	0.0160	0.0000
60.0900	0.0202	0.0000	0.4447	0.0010	0.0202	0.0000
60.1000	0.0249	0.0000	0.4911	0.0013	0.0248	0.0000
60.1100	0.0300	0.0000	0.5362	0.0017	0.0300	0.0000
60.1200	0.0356	0.0001	0.5801	0.0022	0.0355	0.0001
60.1300	0.0416	0.0001	0.6226	0.0028	0.0415	0.0001
60.1400	0.0481	0.0001	0.6637	0.0034	0.0479	0.0001
60.1500	0.0549	0.0002	0.7035	0.0042	0.0547	0.0002
60.1600	0.0621	0.0002	0.7420	0.0051	0.0619	0.0002
60.1700	0.0697	0.0003	0.7790	0.0060	0.0695	0.0003
60.1800	0.0777	0.0003	0.8145	0.0071	0.0774	0.0003
60.1900	0.0860	0.0004	0.8485	0.0083	0.0856	0.0004
60.2000	0.0947	0.0005	0.8808	0.0097	0.0942	0.0005
60.2100	0.1036	0.0006	0.9115	0.0111	0.1030	0.0006
60.2200	0.1129	0.0007	0.9404	0.0127	0.1122	0.0007
60.2300	0.1224	0.0009	0.9675	0.0144	0.1216	0.0009
60.2400	0.1322	0.0010	0.9927	0.0162	0.1312	0.0010
60.2500	0.1423	0.0012	1.0162	0.0182	0.1411	0.0012
60.2600	0.1525	0.0014	1.0377	0.0203	0.1512	0.0014
60.2700	0.1630	0.0016	1.0573	0.0226	0.1614	0.0016
60.2800	0.1737	0.0018	1.0750	0.0250	0.1719	0.0018
60.2900	0.1845	0.0021	1.0909	0.0275	0.1824	0.0021
60.3000	0.1955	0.0024	1.1052	0.0302	0.1931	0.0024
60.3100	0.2066	0.0027	1.1181	0.0331	0.2039	0.0027
60.3200	0.2178	0.0030	1.1298	0.0361	0.2148	0.0030
60.3300	0.2292	0.0034	1.1404	0.0392	0.2258	0.0034
60.3400	0.2407	0.0038	1.1499	0.0425	0.2368	0.0038
60.3500	0.2522	0.0043	1.1585	0.0460	0.2480	0.0043
60.3600	0.2639	0.0047	1.1662	0.0495	0.2591	0.0047
60.3700	0.2756	0.0053	1.1730	0.0533	0.2703	0.0053
60.3800	0.2874	0.0058	1.1787	0.0572	0.2815	0.0058
60.3900	0.2992	0.0064	1.1834	0.0612	0.2928	0.0064
60.4000	0.3110	0.0070	1.1869	0.0654	0.3040	0.0070
60.4100	0.3229	0.0077	1.1890	0.0697	0.3152	0.0077
60.4200	0.3348	0.0084	1.1896	0.0742	0.3263	0.0084
60.4300	0.3466	0.0092	1.1884	0.0788	0.3374	0.0092
60.4400	0.3585	0.0100	1.1851	0.0835	0.3485	0.0100
60.4500	0.3703	0.0109	1.1795	0.0884	0.3594	0.0109
60.4600	0.3821	0.0118	1.1712	0.0934	0.3703	0.0118
60.4700	0.3937	0.0127	1.1606	0.0985	0.3810	0.0127
60.4800	0.4053	0.0137	1.1475	0.1038	0.3915	0.0137
60.4900	0.4167	0.0148	1.1323	0.1092	0.4019	0.0148
60.5000	0.4279	0.0159	1.1150	0.1147	0.4120	0.0159
60.5100	0.4390	0.0171	1.0957	0.1203	0.4219	0.0171
60.5200	0.4499	0.0183	1.0745	0.1260	0.4315	0.0183
60.5300	0.4605	0.0196	1.0516	0.1318	0.4409	0.0196
60.5400	0.4709	0.0210	1.0270	0.1377	0.4499	0.0210
60.5500	0.4810	0.0224	1.0009	0.1437	0.4587	0.0224
60.5600	0.4909	0.0238	0.9734	0.1498	0.4671	0.0238
60.5700	0.5005	0.0254	0.9446	0.1560	0.4752	0.0254
60.5800	0.5098	0.0270	0.9146	0.1622	0.4829	0.0270
60.5900	0.5188	0.0286	0.8835	0.1685	0.4902	0.0286
60.6000	0.5275	0.0303	0.8514	0.1749	0.4971	0.0303
60.6100	0.5358	0.0321	0.8183	0.1813	0.5037	0.0321
60.6200	0.5438	0.0340	0.7845	0.1877	0.5098	0.0340
60.6300	0.5515	0.0359	0.7501	0.1942	0.5156	0.0359
60.6400	0.5588	0.0378	0.7150	0.2007	0.5209	0.0378
60.6500	0.5657	0.0399	0.6794	0.2072	0.5259	0.0399
60.6600	0.5723	0.0420	0.6434	0.2137	0.5304	0.0420
60.6700	0.5786	0.0442	0.6072	0.2203	0.5344	0.0442
60.6800	0.5845	0.0464	0.5711	0.2268	0.5381	0.0464
60.6900	0.5900	0.0487	0.5355	0.2333	0.5414	0.0487
60.7000	0.5953	0.0511	0.5002	0.2398	0.5442	0.0511
60.7100	0.6001	0.0535	0.4653	0.2462	0.5466	0.0535
60.7200	0.6046	0.0560	0.4305	0.2526	0.5486	0.0560
60.7300	0.6088	0.0585	0.3960	0.2590	0.5502	0.0585
60.7400	0.6126	0.0612	0.3615	0.2653	0.5514	0.0612
60.7500	0.6160	0.0638	0.3271	0.2715	0.5522	0.0638
60.7600	0.6191	0.0666	0.2927	0.2777	0.5525	0.0666
60.7700	0.6219	0.0694	0.2583	0.2838	0.5525	0.0694
60.7800	0.6243	0.0723	0.2240	0.2898	0.5520	0.0723
