t	x1	x2	dx1	dx2	x1_rel	x2_rel
60.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
60.0100	0.0004	0.0000	0.0780	0.0000	0.0004	0.0000
60.0200	0.0016	0.0000	0.1555	0.0000	0.0016	0.0000
60.0300	0.0035	0.0000	0.2325	0.0001	0.0035	0.0000
60.0400	0.0062	0.0000	0.3087	0.0001	0.0062	0.0000
60.0500	0.0097	0.0000	0.3840	0.0003	0.0097	0.0000
60.0600	0.0139	0.0000	0.4583	0.0005	0.0139	0.0000
60.0700	0.0188	0.0000	0.5311	0.0007	0.0188	0.0000
60.0800	0.0245	0.0000	0.6023	0.0010	0.0245	0.0000
60.0900	0.0309	0.0000	0.6717	0.0015	0.0308	0.0000
60.1000	0.0379	0.0001	0.7390	0.0020	0.0379	0.0001
60.1100	0.0456	0.0001	0.8041	0.0026	0.0456	0.0001
60.1200	0.0540	0.0001	0.8670	0.0034	0.0539	0.0001
60.1300	0.0630	0.0001	0.9275	0.0042	0.0628	0.0001
60.1400	0.0725	0.0002	0.9856	0.0052	0.0724	0.0002
60.1500	0.0827	0.0002	1.0414	0.0064	0.0824	0.0002
60.1600	0.0934	0.0003	1.0949	0.0077	0.0930	0.0003
60.1700	0.1046	0.0004	1.1460	0.0092	0.1042	0.0004
60.1800	0.1163	0.0005	1.1946	0.0108	0.1158	0.0005
60.1900	0.1285	0.0006	1.2407	0.0126	0.1278	0.0006
60.2000	0.1411	0.0008	1.2841	0.0145	0.1403	0.0008
60.2100	0.1541	0.0009	1.3250	0.0167	0.1532	0.0009
60.2200	0.1676	0.0011	1.3631	0.0190	0.1665	0.0011
60.2300	0.1814	0.0013	1.3985	0.0216	0.1801	0.0013
60.2400	0.1955	0.0015	1.4311	0.0243	0.1940	0.0015
60.2500	0.2100	0.0018	1.4609	0.0272	0.2082	0.0018
60.2600	0.2247	0.0021	1.4879	0.0303	0.2227	0.0021
60.2700	0.2397	0.0024	1.5121	0.0337	0.2374	0.0024
60.2800	0.2550	0.0027	1.5335	0.0372	0.2522	0.0027
60.2900	0.2704	0.0031	1.5521	0.0409	0.2673	0.0031
60.3000	0.2860	0.0036	1.5685	0.0449	0.2824	0.0036
60.3100	0.3017	0.0040	1.5827	0.0490	0.2977	0.0040
60.3200	0.3176	0.0045	1.5952	0.0534	0.3131	0.0045
