t	x1	x2	dx1	dx2
0.0000	0.0000	0.0000	0.0000	0.0000
0.0100	0.0006	0.0000	0.1129	0.0000
0.0200	0.0023	0.0000	0.2236	0.0000
0.0300	0.0050	0.0000	0.3320	0.0001
0.0400	0.0089	0.0000	0.4382	0.0002
0.0500	0.0138	0.0000	0.5419	0.0004
0.0600	0.0197	0.0000	0.6431	0.0006
0.0700	0.0266	0.0000	0.7417	0.0010
0.0800	0.0345	0.0000	0.8378	0.0015
0.0900	0.0434	0.0000	0.9312	0.0021
0.1000	0.0532	0.0001	1.0221	0.0028
0.1100	0.0638	0.0001	1.1104	0.0037
0.1200	0.0754	0.0001	1.1961	0.0047
0.1300	0.0877	0.0002	1.2792	0.0059
0.1400	0.1009	0.0003	1.3597	0.0074
0.1500	0.1149	0.0003	1.4374	0.0090
0.1600	0.1297	0.0004	1.5123	0.0108
0.1700	0.1452	0.0006	1.5844	0.0128
0.1800	0.1614	0.0007	1.6534	0.0150
0.1900	0.1782	0.0009	1.7190	0.0175
0.2000	0.1957	0.0011	1.7808	0.0203
0.2100	0.2138	0.0013	1.8387	0.0232
0.2200	0.2325	0.0015	1.8924	0.0265
0.2300	0.2516	0.0018	1.9418	0.0300
0.2400	0.2713	0.0021	1.9868	0.0338
0.2500	0.2913	0.0025	2.0276	0.0378
0.2600	0.3118	0.0029	2.0640	0.0421
0.2700	0.3326	0.0033	2.0965	0.0468
0.2800	0.3537	0.0038	2.1250	0.0517
0.2900	0.3751	0.0044	2.1500	0.0568
0.3000	0.3967	0.0050	2.1719	0.0623
0.3100	0.4186	0.0056	2.1909	0.0681
0.3200	0.4405	0.0063	2.2077	0.0741
0.3300	0.4627	0.0071	2.2223	0.0805
0.3400	0.4850	0.0079	2.2349	0.0871
0.3500	0.5074	0.0088	2.2458	0.0940
0.3600	0.5299	0.0098	2.2549	0.1012
0.3700	0.5525	0.0109	2.2624	0.1087
0.3800	0.5752	0.0120	2.2683	0.1165
0.3900	0.5979	0.0132	2.2726	0.1245
0.4000	0.6207	0.0145	2.2753	0.1328
0.4100	0.6434	0.0158	2.2762	0.1414
0.4200	0.6662	0.0173	2.2753	0.1503
0.4300	0.6889	0.0188	2.2725	0.1594
0.4400	0.7116	0.0205	2.2676	0.1688
0.4500	0.7342	0.0222	2.2603	0.1784
0.4600	0.7568	0.0241	2.2504	0.1883
0.4700	0.7792	0.0260	2.2377	0.1985
0.4800	0.8015	0.0280	2.2218	0.2088
0.4900	0.8236	0.0302	2.2026	0.2194
0.5000	0.8456	0.0324	2.1800	0.2303
0.5100	0.8673	0.0348	2.1540	0.2413
0.5200	0.8887	0.0372	2.1246	0.2526
0.5300	0.9098	0.0398	2.0918	0.2640
0.5400	0.9306	0.0425	2.0557	0.2756
0.5500	0.9509	0.0453	2.0163	0.2875
0.5600	0.9709	0.0483	1.9739	0.2994
0.5700	0.9904	0.0513	1.9285	0.3116
0.5800	1.0094	0.0545	1.8803	0.3239
0.5900	1.0279	0.0578	1.8296	0.3363
0.6000	1.0459	0.0612	1.7766	0.3488
0.6100	1.0633	0.0648	1.7216	0.3615
0.6200	1.0802	0.0685	1.6649	0.3742
0.6300	1.0966	0.0723	1.6067	0.3871
0.6400	1.1123	0.0762	1.5476	0.4000
0.6500	1.1275	0.0803	1.4879	0.4129
0.6600	1.1421	0.0845	1.4280	0.4259
0.6700	1.1561	0.0888	1.3684	0.4389
0.6800	1.1695	0.0932	1.3096	0.4520
0.6900	1.1824	0.0978	1.2521	0.4650
0.7000	1.1946	0.1025	1.1965	0.4780
0.7100	1.2063	0.1074	1.1430	0.4909
0.7200	1.2175	0.1124	1.0897	0.5039
0.7300	1.2281	0.1175	1.0363	0.5167
0.7400	1.2382	0.1227	0.9831	0.5295
0.7500	1.2477	0.1280	0.9302	0.5422
0.7600	1.2568	0.1335	0.8777	0.5548
0.7700	1.2653	0.1391	0.8259	0.5673
0.7800	1.2733	0.1449	0.7748	0.5797
0.7900	1.2808	0.1507	0.7245	0.5919
0.8000	1.2879	0.1567	0.6752	0.6040
0.8100	1.2944	0.1628	0.6268	0.6159
0.8200	1.3005	0.1690	0.5796	0.6276
0.8300	1.3061	0.1754	0.5334	0.6392
0.8400	1.3112	0.1818	0.4884	0.6505
0.8500	1.3159	0.1884	0.4445	0.6617
0.8600	1.3202	0.1950	0.4018	0.6726
0.8700	1.3240	0.2018	0.3602	0.6833
0.8800	1.3274	0.2087	0.3198	0.6938
0.8900	1.3304	0.2157	0.2805	0.7040
0.9000	1.3330	0.2228	0.2421	0.7139
0.9100	1.3352	0.2300	0.2047	0.7236
0.9200	1.3370	0.2373	0.1682	0.7330
0.9300	1.3385	0.2446	0.1324	0.7421
0.9400	1.3396	0.2521	0.0973	0.7509
0.9500	1.3403	0.2597	0.0626	0.7595
0.9600	1.3407	0.2673	0.0284	0.7676
0.9700	1.3408	0.2750	-0.0057	0.7755
0.9800	1.3406	0.2828	-0.0387	0.7831
0.9900	1.3401	0.2907	-0.0698	0.7903
1.0000	1.3392	0.2986	-0.0989	0.7971
1.0100	1.3381	0.3066	-0.1262	0.8036
1.0200	1.3367	0.3147	-0.1515	0.8098
1.0300	1.3351	0.3228	-0.1748	0.8156
1.0400	1.3332	0.3310	-0.1962	0.8210
1.0500	1.3312	0.3392	-0.2156	0.8260
1.0600	1.3289	0.3475	-0.2330	0.8307
1.0700	1.3265	0.3558	-0.2483	0.8349
1.0800	1.3239	0.3642	-0.2615	0.8388
1.0900	1.3213	0.3726	-0.2727	0.8423
1.1000	1.3185	0.3811	-0.2818	0.8453
1.1100	1.3156	0.3895	-0.2887	0.8480
1.1200	1.3127	0.3980	-0.2935	0.8503
1.1300	1.3098	0.4065	-0.2960	0.8521
1.1400	1.3068	0.4151	-0.2963	0.8536
1.1500	1.3038	0.4236	-0.2944	0.8547
1.1600	1.3009	0.4321	-0.2902	0.8553
1.1700	1.2981	0.4407	-0.2832	0.8556
