ti	wsp_avg	x1_rel_avg	x1_rel_std	x2_rel_avg	x2_rel_std
0.05	4.01	0.13222476921850998	0.012841647425166492	0.06901821818271166	0.010316564064973728
0.05	5.02	0.20565324383867944	0.020089266873293786	0.1073463190288816	0.015546867124926008
0.05	6.02	0.29104598720925856	0.02857089989219744	0.15191878502428294	0.021526145496453496
0.05	7.03	0.3758833819733657	0.037093288858805334	0.19620145998797847	0.027578336854654675
0.05	8.03	0.46633188437549533	0.04621472313366828	0.24341270376772253	0.03403487303718734
0.05	9.03	0.5901332459700083	0.05849552076151269	0.3080323099986226	0.04235432492251229
0.05	10.03	0.7284620767981611	0.07219449667255708	0.3802341291004488	0.05152079457788992
0.05	11.04	0.8717776710879753	0.08640154220311293	0.45503830847490956	0.06099327190960961
0.05	12.04	0.7353396625829067	0.07436529956743985	0.3838273709333758	0.05569344279434335
0.05	13.04	0.6274096932827418	0.06494081639039255	0.32749434418911705	0.051524466027488315
0.05	14.05	0.5613730427403578	0.059403670903113284	0.2930261728585611	0.04938048473026437
0.05	15.05	0.5167686647106857	0.05586892508884592	0.26974448839125154	0.048206206349335624
0.05	16.05	0.47909890965909824	0.052928575826403326	0.2500824509261822	0.047383699129946125
0.05	17.05	0.4487645386888586	0.0506758005673931	0.23424677204733227	0.04671238289666536
0.05	18.06	0.42544566143304424	0.04906716384901016	0.22207361439462106	0.04637527582513366
0.05	19.06	0.40372173185758803	0.047604079833439776	0.2107326333250991	0.046063147512789115
0.05	20.06	0.3869893928176356	0.04660831389396241	0.20199703889917983	0.046059305231975226
0.05	21.06	0.3720309369304992	0.04573670527801391	0.19418738645753522	0.04599097378745094
0.05	22.06	0.3608289695491236	0.04521722193521452	0.18833785197201378	0.04617899841783347
0.05	23.07	0.3475830328028718	0.044471745466046736	0.18142200261803557	0.046047916898149306
0.05	24.07	0.3374922490006263	0.04402493404398788	0.1761530191529963	0.046279360428751505
0.05	25.07	0.3269911773468135	0.04354874821752501	0.17066950647774987	0.04623663903270693
0.1	4.03	0.13396962069775542	0.024906362539801927	0.0699307565662596	0.01773542238270352
0.1	5.04	0.2083501280880339	0.039173654611063966	0.10875640903625142	0.02723801052209146
0.1	6.04	0.2946426845159608	0.05583477217299721	0.15379957294159424	0.0382221757037929
0.1	7.05	0.3804651198684889	0.07261782992284134	0.19859676090260928	0.049441181608496435
0.1	8.06	0.472615137142479	0.09066954536253469	0.24669588959843136	0.061450657448727734
0.1	9.06	0.5980685079359691	0.1148833645287462	0.312177438720221	0.07704986237332516
0.1	10.07	0.7382029576656235	0.14187196738242538	0.3853209400515161	0.09421166821268279
0.1	11.07	0.873701231941905	0.16810772570513918	0.4560443928839463	0.11116022393668368
0.1	12.08	0.7368642372226961	0.14447537410719882	0.38462897988600864	0.10094319401237854
0.1	13.09	0.6294553311049458	0.1260506340253368	0.3285701335704282	0.09312759054960258
0.1	14.09	0.5636293381033797	0.1151400924533535	0.29421331171208887	0.08914411869855669
0.1	15.1	0.5188956160323782	0.10804128894774548	0.2708639552577977	0.08719083372479364
0.1	16.1	0.4811803131250274	0.10215290161342938	0.2511761374041745	0.08562515777125167
0.1	17.11	0.4509081863608554	0.09766788451966188	0.2353727353489594	0.08467855002243616
0.1	18.11	0.42741456353277124	0.0943656826523652	0.22310649024077867	0.0843689813988518
0.1	19.11	0.4057716534314807	0.09141116697152421	0.21180530256151425	0.08398419007274274
0.1	20.12	0.3889671320586428	0.08939416264709288	0.20303004018121318	0.08421278461247732
0.1	21.12	0.3740988240607888	0.08760774444069175	0.1952651580779565	0.0842250198025416
0.1	22.13	0.3626485700440113	0.08648316737585443	0.18928437010794777	0.08490008125100024
0.1	23.13	0.3494792886267679	0.08504215299192187	0.1824059618157095	0.08489641952981086
0.1	24.14	0.3392958725266356	0.08411212825017654	0.1770873096721487	0.08533671932247973
0.1	25.14	0.32833411314506755	0.08289369366450752	0.17136031130904558	0.08545673089084815
0.15	4.04	0.13622751968225197	0.037387423472292125	0.0711106696293165	0.02595327454387596
0.15	5.06	0.21188253516299405	0.05883922864294552	0.11060244155729415	0.03999304365954321
0.15	6.07	0.29944448344360425	0.08383180847896454	0.1563085670436481	0.056240111006930285
0.15	7.08	0.38663630943515664	0.10900398759132457	0.20182042755718824	0.07279507444098518
0.15	8.09	0.4809220084398402	0.13627205378927207	0.2510351982772923	0.09077729853270962
0.15	9.09	0.608568224442228	0.17267574827376417	0.31766064999444465	0.11388693021977235
0.15	10.1	0.7511185682749483	0.21324450102676853	0.39206411340787567	0.13949310827083344
0.15	11.11	0.8791164207337926	0.2499600302643094	0.45887196133131547	0.16319239195698493
0.15	12.12	0.7413602710349579	0.21476324458122967	0.3869804364519799	0.1480929426278978
0.15	13.13	0.6341207495171665	0.18746908421206235	0.33101347022554706	0.13670913292311265
0.15	14.14	0.5682874726133865	0.17127984323878093	0.29665145800448833	0.13101159335918464
0.15	15.14	0.5232295919043863	0.16070218062286443	0.2731327024878482	0.12830969667286932
0.15	16.15	0.48532777624998064	0.15198009935976414	0.25334702590458014	0.12620876351810176
0.15	17.16	0.45500191270510526	0.14524734068415057	0.23751278260006933	0.12498817907703982
0.15	18.17	0.43128169132810257	0.14036424999700228	0.22512701691748382	0.12462258274626567
0.15	19.17	0.40960242648689216	0.1359250526900505	0.21380602115615333	0.12435240357574665
0.15	20.18	0.3926560886880303	0.13284886900514561	0.20495470960375345	0.12458223668747266
0.15	21.19	0.3778241899553485	0.1302880411371705	0.19720634968830297	0.12515257736242066
0.15	22.19	0.36608927461662677	0.12849192287727743	0.19107503226726524	0.12582385269058521
0.15	23.2	0.3529241550238677	0.12639142756354887	0.18419658008845421	0.12663109455499225
0.15	24.2	0.342593825718371	0.12516516553784354	0.17879732192515607	0.12713802049780767
0.15	25.21	0.33117101848674135	0.123252915013049	0.17282956620613488	0.12741342317711032
