t	x1	x2	dx1	dx2	x1_rel	x2_rel
60.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
60.0100	0.0003	0.0000	0.0533	0.0000	0.0003	0.0000
60.0200	0.0011	0.0000	0.1065	0.0000	0.0011	0.0000
60.0300	0.0024	0.0000	0.1595	0.0000	0.0024	0.0000
60.0400	0.0043	0.0000	0.2123	0.0001	0.0043	0.0000
60.0500	0.0066	0.0000	0.2647	0.0002	0.0066	0.0000
60.0600	0.0095	0.0000	0.3167	0.0003	0.0095	0.0000
60.0700	0.0130	0.0000	0.3680	0.0005	0.0130	0.0000
60.0800	0.0169	0.0000	0.4185	0.0007	0.0169	0.0000
60.0900	0.0213	0.0000	0.4680	0.0010	0.0213	0.0000
60.1000	0.0263	0.0000	0.5164	0.0014	0.0262	0.0000
60.1100	0.0317	0.0001	0.5637	0.0018	0.0316	0.0001
60.1200	0.0375	0.0001	0.6097	0.0023	0.0375	0.0001
60.1300	0.0438	0.0001	0.6544	0.0029	0.0438	0.0001
60.1400	0.0506	0.0001	0.6977	0.0036	0.0505	0.0001
60.1500	0.0578	0.0002	0.7397	0.0044	0.0576	0.0002
60.1600	0.0654	0.0002	0.7802	0.0054	0.0652	0.0002
60.1700	0.0734	0.0003	0.8194	0.0064	0.0731	0.0003
60.1800	0.0818	0.0003	0.8570	0.0075	0.0814	0.0003
60.1900	0.0905	0.0004	0.8931	0.0088	0.0901	0.0004
60.2000	0.0996	0.0005	0.9276	0.0102	0.0991	0.0005
60.2100	0.1091	0.0006	0.9603	0.0117	0.1085	0.0006
60.2200	0.1188	0.0008	0.9913	0.0133	0.1181	0.0008
60.2300	0.1289	0.0009	1.0205	0.0151	0.1280	0.0009
60.2400	0.1392	0.0011	1.0478	0.0171	0.1382	0.0011
60.2500	0.1498	0.0012	1.0733	0.0192	0.1486	0.0012
60.2600	0.1607	0.0014	1.0969	0.0214	0.1593	0.0014
60.2700	0.1718	0.0017	1.1187	0.0238	0.1701	0.0017
60.2800	0.1831	0.0019	1.1386	0.0263	0.1812	0.0019
60.2900	0.1946	0.0022	1.1567	0.0290	0.1924	0.0022
60.3000	0.2062	0.0025	1.1732	0.0319	0.2037	0.0025
60.3100	0.2180	0.0028	1.1881	0.0349	0.2152	0.0028
60.3200	0.2300	0.0032	1.2016	0.0380	0.2268	0.0032
60.3300	0.2420	0.0036	1.2137	0.0413	0.2384	0.0036
60.3400	0.2542	0.0040	1.2244	0.0448	0.2502	0.0040
60.3500	0.2665	0.0045	1.2339	0.0485	0.2620	0.0045
60.3600	0.2789	0.0050	1.2420	0.0522	0.2739	0.0050
60.3700	0.2914	0.0055	1.2488	0.0562	0.2859	0.0055
60.3800	0.3039	0.0061	1.2543	0.0603	0.2978	0.0061
60.3900	0.3165	0.0067	1.2584	0.0646	0.3097	0.0067
60.4000	0.3291	0.0074	1.2610	0.0690	0.3217	0.0074
