t	x1	x2	dx1	dx2	x1_rel	x2_rel
60.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
60.0100	0.0005	0.0000	0.0935	0.0000	0.0005	0.0000
60.0200	0.0019	0.0000	0.1854	0.0000	0.0019	0.0000
60.0300	0.0042	0.0000	0.2758	0.0001	0.0042	0.0000
60.0400	0.0074	0.0000	0.3644	0.0002	0.0074	0.0000
60.0500	0.0115	0.0000	0.4512	0.0003	0.0114	0.0000
60.0600	0.0164	0.0000	0.5360	0.0005	0.0164	0.0000
60.0700	0.0222	0.0000	0.6187	0.0008	0.0222	0.0000
60.0800	0.0288	0.0000	0.6989	0.0012	0.0287	0.0000
60.0900	0.0361	0.0000	0.7767	0.0017	0.0361	0.0000
60.1000	0.0443	0.0001	0.8517	0.0023	0.0442	0.0001
60.1100	0.0532	0.0001	0.9240	0.0031	0.0531	0.0001
60.1200	0.0628	0.0001	0.9935	0.0039	0.0626	0.0001
60.1300	0.0730	0.0002	1.0601	0.0049	0.0729	0.0002
60.1400	0.0839	0.0002	1.1237	0.0061	0.0837	0.0002
60.1500	0.0955	0.0003	1.1845	0.0074	0.0952	0.0003
60.1600	0.1076	0.0004	1.2424	0.0090	0.1073	0.0004
60.1700	0.1203	0.0005	1.2975	0.0106	0.1199	0.0005
60.1800	0.1336	0.0006	1.3498	0.0125	0.1330	0.0006
60.1900	0.1473	0.0007	1.3992	0.0146	0.1466	0.0007
60.2000	0.1615	0.0009	1.4455	0.0168	0.1607	0.0009
60.2100	0.1762	0.0011	1.4888	0.0193	0.1752	0.0011
60.2200	0.1913	0.0013	1.5289	0.0219	0.1900	0.0013
60.2300	0.2068	0.0015	1.5660	0.0248	0.2053	0.0015
60.2400	0.2226	0.0018	1.6000	0.0279	0.2209	0.0018
60.2500	0.2388	0.0021	1.6309	0.0312	0.2367	0.0021
60.2600	0.2552	0.0024	1.6588	0.0348	0.2528	0.0024
60.2700	0.2719	0.0028	1.6837	0.0386	0.2692	0.0028
60.2800	0.2889	0.0032	1.7056	0.0426	0.2857	0.0032
60.2900	0.3060	0.0036	1.7248	0.0468	0.3024	0.0036
60.3000	0.3234	0.0041	1.7413	0.0512	0.3193	0.0041
60.3100	0.3409	0.0046	1.7554	0.0559	0.3362	0.0046
60.3200	0.3585	0.0052	1.7673	0.0609	0.3533	0.0052
60.3300	0.3762	0.0058	1.7769	0.0660	0.3703	0.0058
60.3400	0.3940	0.0065	1.7845	0.0714	0.3875	0.0065
60.3500	0.4119	0.0073	1.7902	0.0770	0.4046	0.0073
60.3600	0.4298	0.0081	1.7939	0.0828	0.4218	0.0081
60.3700	0.4478	0.0089	1.7956	0.0889	0.4389	0.0089
60.3800	0.4658	0.0098	1.7955	0.0952	0.4559	0.0098
60.3900	0.4837	0.0108	1.7933	0.1017	0.4729	0.0108
60.4000	0.5016	0.0119	1.7892	0.1084	0.4897	0.0119
60.4100	0.5195	0.0130	1.7831	0.1153	0.5065	0.0130
60.4200	0.5373	0.0142	1.7748	0.1225	0.5231	0.0142
60.4300	0.5550	0.0155	1.7642	0.1298	0.5395	0.0155
60.4400	0.5725	0.0168	1.7511	0.1373	0.5557	0.0168
60.4500	0.5899	0.0182	1.7355	0.1451	0.5717	0.0182
60.4600	0.6072	0.0197	1.7171	0.1530	0.5875	0.0197
