t	x1	x2	dx1	dx2	x1_rel	x2_rel
60.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
60.0100	0.0002	0.0000	0.0480	0.0000	0.0002	0.0000
60.0200	0.0010	0.0000	0.0960	0.0000	0.0010	0.0000
60.0300	0.0022	0.0000	0.1439	0.0000	0.0022	0.0000
60.0400	0.0038	0.0000	0.1917	0.0001	0.0038	0.0000
60.0500	0.0060	0.0000	0.2392	0.0002	0.0060	0.0000
60.0600	0.0086	0.0000	0.2864	0.0003	0.0086	0.0000
60.0700	0.0117	0.0000	0.3330	0.0004	0.0117	0.0000
60.0800	0.0153	0.0000	0.3790	0.0006	0.0153	0.0000
60.0900	0.0193	0.0000	0.4241	0.0009	0.0193	0.0000
60.1000	0.0238	0.0000	0.4683	0.0012	0.0237	0.0000
60.1100	0.0287	0.0000	0.5115	0.0016	0.0286	0.0000
60.1200	0.0340	0.0001	0.5536	0.0021	0.0339	0.0001
60.1300	0.0397	0.0001	0.5946	0.0027	0.0396	0.0001
60.1400	0.0459	0.0001	0.6343	0.0033	0.0458	0.0001
60.1500	0.0524	0.0002	0.6728	0.0040	0.0523	0.0002
60.1600	0.0593	0.0002	0.7100	0.0048	0.0591	0.0002
60.1700	0.0666	0.0003	0.7461	0.0058	0.0664	0.0003
60.1800	0.0742	0.0003	0.7808	0.0068	0.0739	0.0003
60.1900	0.0822	0.0004	0.8142	0.0080	0.0818	0.0004
60.2000	0.0905	0.0005	0.8461	0.0092	0.0901	0.0005
60.2100	0.0991	0.0006	0.8764	0.0106	0.0986	0.0006
60.2200	0.1080	0.0007	0.9052	0.0121	0.1074	0.0007
60.2300	0.1172	0.0008	0.9323	0.0137	0.1164	0.0008
60.2400	0.1267	0.0010	0.9577	0.0155	0.1257	0.0010
60.2500	0.1364	0.0011	0.9814	0.0174	0.1352	0.0011
60.2600	0.1463	0.0013	1.0035	0.0194	0.1450	0.0013
60.2700	0.1564	0.0015	1.0239	0.0216	0.1549	0.0015
60.2800	0.1668	0.0017	1.0426	0.0239	0.1650	0.0017
60.2900	0.1773	0.0020	1.0597	0.0264	0.1753	0.0020
60.3000	0.1880	0.0023	1.0753	0.0290	0.1857	0.0023
60.3100	0.1988	0.0026	1.0895	0.0317	0.1962	0.0026
60.3200	0.2098	0.0029	1.1025	0.0346	0.2068	0.0029
60.3300	0.2208	0.0033	1.1142	0.0376	0.2176	0.0033
60.3400	0.2320	0.0037	1.1247	0.0408	0.2284	0.0037
60.3500	0.2433	0.0041	1.1340	0.0441	0.2393	0.0041
60.3600	0.2547	0.0045	1.1421	0.0476	0.2502	0.0045
60.3700	0.2662	0.0050	1.1490	0.0512	0.2612	0.0050
60.3800	0.2777	0.0056	1.1546	0.0549	0.2722	0.0056
60.3900	0.2893	0.0061	1.1589	0.0588	0.2832	0.0061
60.4000	0.3009	0.0067	1.1618	0.0629	0.2942	0.0067
60.4100	0.3125	0.0074	1.1634	0.0671	0.3051	0.0074
60.4200	0.3242	0.0081	1.1634	0.0714	0.3161	0.0081
60.4300	0.3358	0.0088	1.1618	0.0759	0.3270	0.0088
60.4400	0.3474	0.0096	1.1586	0.0805	0.3378	0.0096
60.4500	0.3589	0.0104	1.1535	0.0852	0.3485	0.0104
60.4600	0.3704	0.0113	1.1466	0.0900	0.3591	0.0113
60.4700	0.3818	0.0122	1.1375	0.0950	0.3696	0.0122
60.4800	0.3932	0.0132	1.1262	0.1001	0.3799	0.0132
60.4900	0.4044	0.0142	1.1130	0.1054	0.3901	0.0142
60.5000	0.4154	0.0153	1.0979	0.1107	0.4001	0.0153
60.5100	0.4263	0.0164	1.0811	0.1162	0.4099	0.0164
60.5200	0.4371	0.0176	1.0626	0.1217	0.4194	0.0176
60.5300	0.4476	0.0189	1.0426	0.1274	0.4287	0.0189
60.5400	0.4579	0.0202	1.0210	0.1332	0.4378	0.0202
60.5500	0.4680	0.0215	0.9979	0.1390	0.4465	0.0215
60.5600	0.4779	0.0230	0.9735	0.1450	0.4549	0.0230
60.5700	0.4875	0.0244	0.9478	0.1510	0.4631	0.0244
60.5800	0.4969	0.0260	0.9208	0.1570	0.4709	0.0260
60.5900	0.5059	0.0276	0.8928	0.1632	0.4783	0.0276
60.6000	0.5147	0.0292	0.8637	0.1694	0.4855	0.0292
60.6100	0.5232	0.0310	0.8336	0.1757	0.4922	0.0310
60.6200	0.5314	0.0328	0.8027	0.1820	0.4986	0.0328
60.6300	0.5392	0.0346	0.7711	0.1883	0.5046	0.0346
60.6400	0.5468	0.0365	0.7387	0.1947	0.5102	0.0365
60.6500	0.5540	0.0385	0.7058	0.2011	0.5155	0.0385
60.6600	0.5608	0.0406	0.6725	0.2075	0.5203	0.0406
60.6700	0.5674	0.0427	0.6388	0.2140	0.5247	0.0427
60.6800	0.5736	0.0448	0.6048	0.2204	0.5288	0.0448
60.6900	0.5795	0.0471	0.5707	0.2268	0.5324	0.0471
60.7000	0.5850	0.0494	0.5366	0.2332	0.5356	0.0494
60.7100	0.5902	0.0517	0.5025	0.2396	0.5385	0.0517
60.7200	0.5951	0.0542	0.4687	0.2459	0.5409	0.0542
60.7300	0.5996	0.0567	0.4349	0.2522	0.5429	0.0567
60.7400	0.6038	0.0592	0.4013	0.2585	0.5446	0.0592
60.7500	0.6077	0.0618	0.3678	0.2647	0.5458	0.0618
60.7600	0.6112	0.0645	0.3344	0.2708	0.5467	0.0645
60.7700	0.6144	0.0672	0.3011	0.2769	0.5471	0.0672
60.7800	0.6172	0.0700	0.2679	0.2829	0.5472	0.0700
